path2sat,True,4,alarm,37,65,65,0.527956008911,0.1476,0.1791,0.1878
path2sat,True,12,anna-pp,22,148,148,5.36112999916,0.1525,0.136,0.1302,0.144,0.1066,0.0702,0.1643,0.2104,0.3684,1.4511,2.3786
path2sat,False,10,B10Cage,70,106,105,3143.87723398, ,0.6705,0.8134,1.0776,1.864,11.0518,43.0596,1085.2563,2000.0328
path2sat,True,7,barley,48,126,126,2.80160880089,0.7226,0.3848,0.2765,0.3454,0.48,0.5611
path2sat,True,7,barley-pp-001,16,50,50,0.61786198616,0.0887,0.1206,0.0848,0.082,0.12,0.1019
path2sat,True,7,barley-pp,26,78,78,0.964427947998,0.1464,0.1715,0.1116,0.1108,0.1974,0.2004
path2sat,True,7,barley-wpp,29,83,83,1.15395903587,0.1684,0.1554,0.1704,0.167,0.2082,0.2582
path2sat,True,4,bcs01.graph-001,5,10,10,0.302940130234,0.0728,0.1468,0.0705
path2sat,True,4,bcs01.graph-002,5,10,10,0.332847833633,0.118,0.1255,0.0803
path2sat,True,4,bcs01.graph-004,5,10,10,0.303930044174,0.1133,0.1353,0.0442
path2sat,True,13,bcs01.graph-005,44,172,172,1259.42252493,134.7748,0.3049,0.2321,0.2805,0.2781,0.3326,1.2915,2.6944,10.0463,32.0429,150.6852,926.3898
path2sat,True,4,bcs01.graph-00hree,5,10,10,0.126716852188,0.0391,0.044,0.0357
path2sat,True,13,bcs01-pp,44,172,172,1279.54649901,132.0206,0.1537,0.2841,0.272,0.3282,0.3843,1.5332,2.3802,10.7995,30.6216,153.4274,947.2817
path2sat,True,3,bcs05.graph-001,4,6,6,0.228825092316,0.1195,0.1013
path2sat,True,3,bcs05.graph-002,4,6,6,0.219765901566,0.123,0.0889
path2sat,False,26,BN_111,50,741,741,6291.13043714, ,0.2982,0.3747,0.41,0.3971,0.4047,0.578,1.0407,0.9096,1.5016,1.3513,1.3437,2.7719,6.4144,5.2025,27.5519,22.4121,96.8195,193.0622,250.9403,416.1297,582.4597,1295.5688,1383.0196,2000.0455
path2sat,True,26,BN_112,50,719,719,3146.69581008,1.3391,0.3253,0.3228,0.3363,0.3669,0.3718,0.4891,0.6186,1.1375,1.3099,1.9095,3.3346,2.5956,6.5271,6.2491,16.7447,54.1815,30.8528,110.2379,200.34,435.825,227.4178,420.8245,267.195,1355.7282
path2sat,False,26,BN_114,50,731,731,5128.45748615, ,0.3922,0.438,0.5228,0.4057,0.5183,0.7193,0.7294,0.7063,1.6441,2.2871,2.8566,2.5656,5.9787,9.6607,19.4998,33.0561,76.958,115.01,118.5595,423.7465,845.3932,504.1258,962.5142,2000.0463
path2sat,False,26,BN_115,50,731,731,5098.99928403, ,0.3346,0.313,0.3911,0.4054,0.5196,0.4753,0.6856,0.7087,1.6468,2.184,2.631,3.1922,5.1539,9.8959,19.0839,32.3287,75.6601,114.6963,114.9793,413.6054,843.6453,506.2324,950.0214,2000.0472
path2sat,True,25,BN_116,50,742,742,3917.09213495,2.114,0.2948,0.4359,0.3232,0.3671,0.5402,0.5951,0.6466,1.2339,1.6723,1.8335,3.6494,2.8907,5.4726,7.5589,33.546,55.6331,36.6459,277.3011,340.9869,333.5258,361.0716,1595.7472,852.882
path2sat,True,25,BN_117,50,742,742,4039.57132196,2.082,0.3111,0.3725,0.4102,0.4515,0.6303,0.6567,0.6217,1.3169,1.723,2.0057,3.7421,2.6773,5.2413,8.8464,33.4645,55.9597,35.8692,274.9805,352.4692,338.7707,366.0296,1683.4063,867.3859
path2sat,False,26,BN_118,50,735,735,4484.72239208, ,0.3598,0.3744,0.4543,0.4757,0.4965,0.5797,0.871,1.0334,1.4698,2.2645,3.9684,3.8515,11.2376,14.3025,13.7261,36.3574,21.9556,52.5399,69.6002,367.6248,289.559,494.0986,1097.356,2000.0479
path2sat,False,26,BN_119,50,735,735,4493.15520906, ,0.3356,0.3699,0.3687,0.4064,0.5483,0.5528,0.7575,0.9229,1.3972,2.2426,4.1471,4.2642,10.8608,14.0153,13.7414,37.0006,21.9835,51.4325,70.5211,361.3183,299.6139,492.4473,1103.7493,2000.0449
path2sat,True,26,BN_11hree,50,719,719,3070.8470459,1.2322,0.3032,0.3753,0.334,0.37,0.5061,0.5128,0.7315,1.3407,1.5125,2.0514,3.552,2.8268,6.5367,7.0233,18.1703,55.611,31.8517,113.5172,195.907,425.0338,222.3467,410.4726,275.1865,1293.4133
path2sat,False,26,BN_120,50,737,737,5816.18424296, ,0.3173,0.2986,0.3305,0.3946,0.5774,0.6146,0.5808,1.1113,1.3031,3.7489,3.2865,4.1983,5.2021,12.8176,40.3925,18.2722,50.3131,55.7751,659.1607,209.7874,364.3207,1045.1658,1338.0539,2000.0428
path2sat,False,26,BN_121,50,737,737,5942.03936315, ,0.3144,0.3919,0.3965,0.3644,0.428,0.639,0.5689,0.8684,1.1485,3.2839,3.3279,4.144,5.5288,12.4763,41.0745,18.3799,51.7793,54.9322,697.8567,205.227,376.1279,1057.6704,1404.9514,2000.0387
path2sat,False,26,BN_122,50,731,731,5800.51233792, ,0.3457,0.3345,0.4829,0.418,0.489,0.4382,0.5824,0.9874,2.0969,2.4816,3.5855,3.9093,2.611,10.405,33.1333,44.1504,82.9227,112.2242,119.7969,143.358,1045.9019,389.4838,1800.2028,2000.0509
path2sat,True,26,BN_124,50,740,740,3794.52377605,0.8787,0.3448,0.36,0.3835,0.3694,0.5428,0.6728,0.6323,0.6897,0.6851,1.5686,3.4972,2.9552,2.836,9.6284,36.8088,34.3598,35.7001,133.962,146.4041,236.5338,406.1444,760.4611,1163.3586,814.609
path2sat,True,26,BN_125,50,740,740,4424.08815789,1.0838,0.3813,0.5138,0.3953,0.4708,0.4626,0.6401,0.6164,0.841,0.8263,1.3647,3.1667,3.3603,2.8174,11.0985,42.379,42.5434,45.6263,143.8194,167.2198,245.7499,401.5441,916.337,1372.1261,1018.5562
path2sat,False,26,BN_12hree,50,731,731,5648.24291682, ,0.3358,0.3416,0.3972,0.4083,0.5291,0.6209,0.6131,0.8202,1.8331,2.4386,3.6826,3.7992,2.4589,10.8967,31.409,43.1159,82.2346,109.2971,119.8321,141.8431,1004.5111,370.686,1715.7594,2000.0504
path2sat,True,3,BN_14-pp-minor-04,4,6,6,0.115215063095,0.0376,0.0712
path2sat,True,4,BN_14-pp-minor-05,5,10,10,0.206955909729,0.0395,0.0726,0.085
path2sat,True,5,BN_14-pp-minor-06,6,15,15,0.403616905212,0.0899,0.106,0.1584,0.0345
